YEAR,MONTH,DAY,SITE,TYPE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,HEADING,DEPTH..M.,DEPTH..FT.,SEGMENT,CATEGORY,CLASSCODE,NAME,COUNT,notes,problems
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,NA,32,20-30m,COVER,CRUCOR,Coralline algae -Crustose,8,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,0-10m,RELIEF,0-10cm,0-10cm,5,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,0-10m,RELIEF,10cm-1m,10cm-1m,5,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,0-10m,COVER,BARROC,Bare Rock,1,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,0-10m,COVER,ENCRED,Red algae -Encrusting,4,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,0-10m,COVER,CRUCOR,Coralline algae -Crustose,5,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,10-20m,RELIEF,0-10cm,0-10cm,9,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,10-20m,RELIEF,10cm-1m,10cm-1m,1,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,10-20m,COVER,ENCRED,Red algae -Encrusting,6,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,10-20m,COVER,CRUCOR,Coralline algae -Crustose,4,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,9,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,20-30m,SUBSTRATE,SAND,Substrate: Sand,1,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,20-30m,RELIEF,0-10cm,0-10cm,7,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,20-30m,RELIEF,10cm-1m,10cm-1m,2,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,20-30m,RELIEF,1m-2m,1m-2m,1,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,20-30m,COVER,SHELL,Shell Debris,2,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,20-30m,COVER,ENCRED,Red algae -Encrusting,1,NA,NA
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,NA,20-30m,COVER,CRUCOR,Coralline algae -Crustose,7,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,9,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,0-10m,SUBSTRATE,BOULD,Substrate: Boulder,1,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,0-10m,RELIEF,0-10cm,0-10cm,5,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,0-10m,RELIEF,10cm-1m,10cm-1m,5,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,0-10m,COVER,ENCRED,Red algae -Encrusting,3,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,0-10m,COVER,CRUCOR,Coralline algae -Crustose,4,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,0-10m,COVER,ENCBRN,encrusting brown,2,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,10-20m,RELIEF,0-10cm,0-10cm,4,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,10-20m,RELIEF,10cm-1m,10cm-1m,6,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,10-20m,COVER,ENCRED,Red algae -Encrusting,2,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,10-20m,COVER,CRUCOR,Coralline algae -Crustose,7,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,10-20m,COVER,SCALLOP,Scallop,1,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,8,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,20-30m,SUBSTRATE,BOULD,Substrate: Boulder,2,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,20-30m,RELIEF,0-10cm,0-10cm,3,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,20-30m,RELIEF,10cm-1m,10cm-1m,6,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,20-30m,RELIEF,1m-2m,1m-2m,1,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,20-30m,COVER,BARROC,Bare Rock,1,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,20-30m,COVER,ENCRED,Red algae -Encrusting,1,NA,NA
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,NA,25,20-30m,COVER,CRUCOR,Coralline algae -Crustose,8,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,3,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,SUBSTRATE,BOULD,Substrate: Boulder,5,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,SUBSTRATE,COB,Substrate: Cobble,1,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,SUBSTRATE,SAND,Substrate: Sand,1,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,RELIEF,0-10cm,0-10cm,2,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,RELIEF,10cm-1m,10cm-1m,6,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,RELIEF,1m-2m,1m-2m,2,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,COVER,BARROC,Bare Rock,1,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,COVER,SHELL,Shell Debris,1,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,0-10m,COVER,ENCRED,Red algae -Encrusting,8,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,6,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,10-20m,SUBSTRATE,BOULD,Substrate: Boulder,3,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,10-20m,SUBSTRATE,SAND,Substrate: Sand,1,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,10-20m,RELIEF,0-10cm,0-10cm,6,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,10-20m,RELIEF,10cm-1m,10cm-1m,4,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,10-20m,COVER,BARROC,Bare Rock,2,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,10-20m,COVER,BARSAN,Bare Sand,1,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,10-20m,COVER,ENCRED,Red algae -Encrusting,7,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,20-30m,RELIEF,0-10cm,0-10cm,4,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,20-30m,RELIEF,10cm-1m,10cm-1m,6,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,20-30m,COVER,BARROC,Bare Rock,5,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,20-30m,COVER,ENCRED,Red algae -Encrusting,3,NA,NA
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,NA,31,20-30m,COVER,ENCBRN,encrusting brown,1,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,8,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,0-10m,SUBSTRATE,BOULD,Substrate: Boulder,1,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,0-10m,SUBSTRATE,SAND,Substrate: Sand,1,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,0-10m,RELIEF,0-10cm,0-10cm,5,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,0-10m,RELIEF,10cm-1m,10cm-1m,3,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,0-10m,RELIEF,1m-2m,1m-2m,1,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,0-10m,COVER,SHELL,Shell Debris,1,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,0-10m,COVER,CRUCOR,Coralline algae -Crustose,9,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,10-20m,RELIEF,0-10cm,0-10cm,5,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,10-20m,RELIEF,10cm-1m,10cm-1m,4,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,10-20m,RELIEF,1m-2m,1m-2m,1,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,10-20m,COVER,BARROC,Bare Rock,4,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,10-20m,COVER,ENCRED,Red algae -Encrusting,1,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,10-20m,COVER,CRUCOR,Coralline algae -Crustose,5,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,20-30m,RELIEF,0-10cm,0-10cm,6,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,20-30m,RELIEF,10cm-1m,10cm-1m,4,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,20-30m,COVER,ENCRED,Red algae -Encrusting,2,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,20-30m,COVER,CRUCOR,Coralline algae -Crustose,6,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,20-30m,COVER,ENCBRN,encrusting brown,1,NA,NA
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,NA,30,20-30m,COVER,TUBEWORM,Tubeworm,1,NA,NA
